arm,family,family_label,split,row_count,target_row_count,row_percentage_within_family,target_percentage_within_family,absolute_ratio_error_percentage_points
naive_row,benign,0,train,389112,389152,69.99273292417058,69.99992804875417,0.007195124583589063
grouped_float32,benign,0,train,389152,389152,69.99992804875417,69.99992804875417,0.0
naive_row,benign,0,validation,83325,83389,14.988343898174596,14.999856097508328,0.011512199333731488
grouped_float32,benign,0,validation,83389,83389,14.999856097508328,14.999856097508328,0.0
naive_row,benign,0,test,83495,83391,15.018923177654822,15.000215853737508,0.018707323917313445
grouped_float32,benign,0,test,83391,83391,15.000215853737508,15.000215853737508,0.0
naive_row,gafgyt,1,train,1987252,1986790,70.01626341661405,69.99998590691801,0.016277509696038805
grouped_float32,gafgyt,1,train,1986790,1986790,69.99998590691801,69.99998590691801,0.0
naive_row,gafgyt,1,validation,425612,425740,14.995462027599892,14.999971813836025,0.00450978623613274
grouped_float32,gafgyt,1,validation,425740,425740,14.999971813836025,14.999971813836025,0.0
naive_row,gafgyt,1,test,425408,425742,14.988274555786056,15.000042279245964,0.011767723459907842
grouped_float32,gafgyt,1,test,425742,425742,15.000042279245964,15.000042279245964,0.0
naive_row,mirai,2,train,2568752,2567881,70.02373240446386,69.99998909606963,0.023743308394230667
grouped_float32,mirai,2,train,2567881,2567881,69.99998909606963,69.99998909606963,0.0
naive_row,mirai,2,validation,550006,550260,14.993067826263315,14.999991822052218,0.0069239957889024595
grouped_float32,mirai,2,validation,550260,550260,14.999991822052218,14.999991822052218,0.0
naive_row,mirai,2,test,549644,550261,14.983199769272833,15.000019081878158,0.016819312605324654
grouped_float32,mirai,2,test,550261,550261,15.000019081878158,15.000019081878158,0.0
